name,platform,username,profile_url,followers,followers_source,engagement_rate,engagement_source,engagement_method,engagement_sample_size,category,sub_niche,content_themes,content_style,content_source,bio,recent_content,contact_email,email_source,website,creator_geography,audience_age,audience_gender,audience_geography,demographics_source,source,source_url,extraction_method,discovered_at,db_creator_id,niche_score,content_score,engagement_score,brand_fit_score,brand_fit_reason,geography_score,audience_fit_score,total_score,classification,filter_reason,failed_criteria
dunossauro,GitHub,dunossauro,https://github.com/dunossauro,3250,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@dunossauro),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:45.487003+00:00,46,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,250 < 5,000","['Follower count below minimum threshold: 3,250 < 5,000']"
jalammar,GitHub,jalammar,https://github.com/jalammar,3100,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@jalammar),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:46.248937+00:00,47,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,100 < 5,000","['Follower count below minimum threshold: 3,100 < 5,000']"
inconvergent,GitHub,inconvergent,https://github.com/inconvergent,2950,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@inconvergent),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:47.019125+00:00,48,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,950 < 5,000","['Follower count below minimum threshold: 2,950 < 5,000']"
josephmisiti,GitHub,josephmisiti,https://github.com/josephmisiti,2800,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@josephmisiti),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:47.738279+00:00,49,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,800 < 5,000","['Follower count below minimum threshold: 2,800 < 5,000']"
ramalho,GitHub,ramalho,https://github.com/ramalho,2650,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@ramalho),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:48.453697+00:00,50,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,650 < 5,000","['Follower count below minimum threshold: 2,650 < 5,000']"
iamtrask,GitHub,iamtrask,https://github.com/iamtrask,2500,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@iamtrask),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:49.071173+00:00,51,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,500 < 5,000","['Follower count below minimum threshold: 2,500 < 5,000']"
teorth,GitHub,teorth,https://github.com/teorth,2350,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@teorth),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:49.958666+00:00,52,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,350 < 5,000","['Follower count below minimum threshold: 2,350 < 5,000']"
pydanny,GitHub,pydanny,https://github.com/pydanny,2200,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@pydanny),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:50.812103+00:00,53,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,200 < 5,000","['Follower count below minimum threshold: 2,200 < 5,000']"
hmason,GitHub,hmason,https://github.com/hmason,2050,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@hmason),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:51.323897+00:00,54,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,050 < 5,000","['Follower count below minimum threshold: 2,050 < 5,000']"
omarsar,GitHub,omarsar,https://github.com/omarsar,1900,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@omarsar),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:52.040170+00:00,55,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,900 < 5,000","['Follower count below minimum threshold: 1,900 < 5,000']"
ageitgey,GitHub,ageitgey,https://github.com/ageitgey,1750,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@ageitgey),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:52.755152+00:00,56,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,750 < 5,000","['Follower count below minimum threshold: 1,750 < 5,000']"
forrestchang,GitHub,forrestchang,https://github.com/forrestchang,1600,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@forrestchang),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:53.474548+00:00,57,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,600 < 5,000","['Follower count below minimum threshold: 1,600 < 5,000']"
VikParuchuri,GitHub,vikparuchuri,https://github.com/VikParuchuri,1450,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@VikParuchuri),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:54.410777+00:00,58,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,450 < 5,000","['Follower count below minimum threshold: 1,450 < 5,000']"
HackerPoet,GitHub,hackerpoet,https://github.com/HackerPoet,1300,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@HackerPoet),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:55.009954+00:00,59,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,300 < 5,000","['Follower count below minimum threshold: 1,300 < 5,000']"
Newmu,GitHub,newmu,https://github.com/Newmu,1150,"GitHub Search API Query Bounds (1,000-5,000)",2.17,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@Newmu),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+language:python&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:54:55.727926+00:00,60,70.0,60.0,43.4,70.0,Standard developer audience and clean professional bio,,,61.31,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,150 < 5,000","['Follower count below minimum threshold: 1,150 < 5,000']"
lh3,GitHub,lh3,https://github.com/lh3,4900,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@lh3),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:00.436932+00:00,65,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,900 < 5,000","['Follower count below minimum threshold: 4,900 < 5,000']"
k8gege,GitHub,k8gege,https://github.com/k8gege,4750,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@k8gege),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:01.164165+00:00,66,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,750 < 5,000","['Follower count below minimum threshold: 4,750 < 5,000']"
HarborLibrary,GitHub,harborlibrary,https://github.com/HarborLibrary,4600,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@HarborLibrary),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:01.973692+00:00,67,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,600 < 5,000","['Follower count below minimum threshold: 4,600 < 5,000']"
GeostatsGuy,GitHub,geostatsguy,https://github.com/GeostatsGuy,4450,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@GeostatsGuy),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:02.588520+00:00,68,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,450 < 5,000","['Follower count below minimum threshold: 4,450 < 5,000']"
yzhao062,GitHub,yzhao062,https://github.com/yzhao062,4300,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@yzhao062),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:03.203247+00:00,69,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,300 < 5,000","['Follower count below minimum threshold: 4,300 < 5,000']"
chrisvfritz,GitHub,chrisvfritz,https://github.com/chrisvfritz,4150,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@chrisvfritz),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:03.714294+00:00,70,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,150 < 5,000","['Follower count below minimum threshold: 4,150 < 5,000']"
bcaffo,GitHub,bcaffo,https://github.com/bcaffo,4000,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@bcaffo),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:04.442051+00:00,71,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 4,000 < 5,000","['Follower count below minimum threshold: 4,000 < 5,000']"
